baths,beds,location,parking,price,price_per_sqft,property_type,property_url,sqft
,,"Dhaka, Motijheel, Old Town ",,"2,000,000 BDT","20,000.00 BDT",Commercial,https://flatforsaleindhaka.com/listings/ready-shop-sale-in-dhaka-%e0%a6%b2%e0%a6%95%e0%a7%8d%e0%a6%b7%e0%a7%80%e0%a6%ac%e0%a6%be%e0%a6%9c%e0%a6%be%e0%a6%b0%e0%a7%87-%e0%a6%b0%e0%a7%87%e0%a6%a1%e0%a6%bf-%e0%a6%a6%e0%a7%8b%e0%a6%95%e0%a6%be/,100
3,3,"Dhaka, Green Road ",1,"6,900,000 BDT","6,000.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/ready-flat-sale-in-green-road/,"1,150"
2,2,"Dhaka, Baridhara, Bashundhara, Kalachadpur ",1,"3,357,500 BDT","3,950.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/%e0%a6%ad%e0%a6%be%e0%a7%9c%e0%a6%be%e0%a6%b0-%e0%a6%9f%e0%a6%be%e0%a6%95%e0%a6%be%e0%a7%9f-%e0%a6%ab%e0%a7%8d%e0%a6%b2%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%9f/,850
"3, 4","3, 4","Dhaka, Motijheel, Paltan, Segun Bagicha, Shantinagar, Siddeshwari ",1,"22,525,000 BDT","8,500.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/flat-sale-at-motijheel-dhaka/,"2,650"
,,"Dhaka, Gulshan ",2,"302,240,000 BDT","40,000.00 BDT",Commercial,https://flatforsaleindhaka.com/listings/office-space-sale-at-gulshan/,"7,556"
,,"Dhaka, Dhanmondi, Old Town ",1,"3,280,000 BDT","4,000.00 BDT","Apartment, Commercial",https://flatforsaleindhaka.com/listings/flats-for-sale-in-hazaribagh/,820
,,"Dhaka, Motijheel, Paltan, Segun Bagicha, Shantinagar ",1,"18,400,000 BDT","16,000.00 BDT",Commercial,https://flatforsaleindhaka.com/listings/ready-commercial-space-for-sale-in-motijheel-dhaka/,"1,150"
3,3,"Dhaka, Segun Bagicha, Shantinagar, Siddeshwari ",1,"16,000,000 BDT","10,062.89 BDT",Apartment,https://flatforsaleindhaka.com/listings/ready-flat-for-sale-in-shiddheswari/,"1,590"
,,"Dhaka, Dhanmondi, Mohammadpur ",,"3,640,000 BDT","40,000.00 BDT",Commercial,https://flatforsaleindhaka.com/listings/commercial-space-for-sale-in-dhaka/,91
3,3,"Dhaka, Mirpur ",1,"6,322,500 BDT","4,500.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/flat-sale-in-mirpur/,"1,405"
5,4,"Dhaka, Dhanmondi ",2,"45,523,500 BDT","16,500.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/luxury-flat-sale-in-dhanmondi/,"2,759"
3,3,"Dhaka, Khilgaon, Motijheel, Shantinagar, Siddeshwari ",1,"15,360,000 BDT","8,000.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/ready-flat-for-sale-in-khilgaon/,"1,920"
3,3,"Dhaka, Tejgaon ",,"8,500,000 BDT","6,916.19 BDT",Apartment,https://flatforsaleindhaka.com/listings/ready-flat-in-dhaka-tejkunipara/,"1,229"
3,3,"Dhaka, Dhanmondi, Mohammadpur ",1,"9,736,000 BDT","8,000.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/flat-for-sale-in-mohammadpur/,"1,217"
3,3,"Dhaka, Bashundhara ",1,"11,550,000 BDT","7,000.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/ready-flat-in-bashundhara/,"1,650"
4,3,"Dhaka, Mohammadpur ",1,"12,000,000 BDT","8,000.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/ready-flat-at-mohammadpur/,"1,500"
,3,"Dhaka, Banani ",1,"21,000,000 BDT","11,211.96 BDT",Apartment,https://flatforsaleindhaka.com/listings/flat-for-sale-in-banani/,"1,873"
4,3,"Dhaka, Uttara ",1,"15,184,000 BDT","8,000.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/flat-sale-in-uttara/,"1,898"
2,2,"Dhaka, Badda, Baridhara, Bashundhara, Kalachadpur ",,"4,500,000 BDT","5,294.12 BDT",Apartment,https://flatforsaleindhaka.com/listings/kalachandpur/,850
3,3,"Dhaka, Siddeshwari ",1,"8,220,000 BDT","6,000.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/ready-flat-sale-in-malibagh-gulbagh/,"1,370"
5,4,"Dhaka, Bashundhara ",1,"16,695,000 BDT","7,000.00 BDT",Apartment,https://flatforsaleindhaka.com/listings/4-bed-ready-flat-sale-in-bashundhara/,"2,385"
